name,pclass,sex,age,fare,survived
"Abbing, Mr. Anthony",3,male,42,7.55,0
"Abbott, Master. Eugene Joseph",3,male,13,20.25,0
"Abbott, Mr. Rossmore Edward",3,male,16,20.25,0
"Abbott, Mrs. Stanton (Rosa Hunt)",3,female,35,20.25,1
"Abelseth, Miss. Karen Marie",3,female,16,7.65,1
"Abelseth, Mr. Olaus Jorgensen",3,male,25,7.65,1
"Abelson, Mr. Samuel",2,male,30,24,0
"Abelson, Mrs. Samuel (Hannah Wizosky)",2,female,28,24,1
"Abrahamsson, Mr. Abraham August Johannes",3,male,20,7.925,1
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",3,female,18,7.2292,1
"Adahl, Mr. Mauritz Nils Martin",3,male,30,7.25,0
"Adams, Mr. John",3,male,26,8.05,0
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",3,female,40,9.475,0
"Aks, Master. Philip Frank",3,male,0.83,9.35,1
"Aks, Mrs. Sam (Leah Rosen)",3,female,18,9.35,1
"Albimona, Mr. Nassef Cassem",3,male,26,18.7875,1
"Aldworth, Mr. Charles Augustus",2,male,30,13,0
"Alexander, Mr. William",3,male,26,7.8875,0
"Alhomaki, Mr. Ilmari Rudolf",3,male,20,7.925,0
"Ali, Mr. Ahmed",3,male,24,7.05,0
"Ali, Mr. William",3,male,25,7.05,0
"Allen, Miss. Elisabeth Walton",1,female,29,211.3375,1
"Allen, Mr. William Henry",3,male,35,8.05,0
"Allison, Miss. Helen Loraine",1,female,2,151.55,0
"Allison, Mr. Hudson Joshua Creighton",1,male,30,151.55,0
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",1,female,25,151.55,0
"Allum, Mr. Owen George",3,male,18,8.3,0
"Andersen, Mr. Albert Karvin",3,male,32,22.525,0
"Andersen-Jensen, Miss. Carla Christine Nielsine",3,female,19,7.8542,1
"Anderson, Mr. Harry",1,male,48,26.55,1
"Andersson, Master. Sigvard Harald Elias",3,male,4,31.275,0
"Andersson, Miss. Ebba Iris Alfrida",3,female,6,31.275,0
"Andersson, Miss. Ellis Anna Maria",3,female,2,31.275,0
"Andersson, Miss. Erna Alexandra",3,female,17,7.925,1
"Andersson, Miss. Ida Augusta Margareta",3,female,38,7.775,0
"Andersson, Miss. Ingeborg Constanzia",3,female,9,31.275,0
"Andersson, Miss. Sigrid Elisabeth",3,female,11,31.275,0
